xlong,ylat,collision
-118.281685,35.010593,0.0
-118.29599,35.015896,0.0
-118.26619,35.006695,0.0
-118.302788,35.008595,0.0
-118.297585,35.013695,0.0
-118.299385,35.011696,0.0
-118.259888,35.017197,0.0
-118.316788,34.996593,0.0
-118.315689,34.997395,0.0
-118.314491,34.998196,0.0
-118.26329,35.010696,0.0
-118.270592,35.003796,0.0
-118.267387,35.005997,0.0
-118.30809,35.000496,0.0
-118.303085,35.007496,0.0
-118.267586,35.020496,0.0
-118.264992,35.021595,0.0
-118.30719,35.001396,0.0
-118.312569,34.999969,0.0
-118.260788,35.014996,0.0
-118.271286,35.018494,0.0
-118.269485,35.004494,0.0
-118.269989,35.019096,0.0
-118.333687,35.038197,0.0
-118.359985,35.040695,0.0
-118.355789,35.044094,0.0
-118.25869,35.021996,0.0
-118.312286,35.047195,0.0
-118.361191,35.039993,0.0
-118.266685,34.997894,0.0
-118.359085,35.041496,0.0
-118.321289,35.043797,0.0
-118.386185,35.041794,0.0
-118.319885,35.044395,0.0
-118.254791,35.035793,0.0
-118.388084,35.041393,0.0
-118.317184,35.050995,0.0
-118.341988,35.035896,0.0
-118.27079,34.996395,0.0
-118.31839,35.044796,0.0
-118.272186,34.995895,0.0
-118.264992,34.998493,0.0
-118.384987,35.048595,0.0
-118.358185,35.042294,0.0
-118.259186,35.019596,0.0
-118.39019,35.045094,0.0
-118.388191,35.046696,0.0
-118.384789,35.042194,0.0
-118.258286,35.023193,0.0
-118.321587,35.051395,0.0
-118.25779,35.025097,0.0
-118.254486,35.036995,0.0
-118.263687,35.022297,0.0
-118.258888,35.020794,0.0
-118.269386,34.996696,0.0
-118.314186,35.051395,0.0
-118.26799,34.997295,0.0
-118.259491,35.018394,0.0
-118.357185,35.042995,0.0
-118.385788,35.047497,0.0
-116.656387,33.939796,0.0
-116.656219,33.935867,0.0
-116.656387,33.936195,0.0
-116.656342,33.938709,0.0
-116.65699,33.937496,0.0
-116.666389,33.946495,0.0
-116.657288,33.938511,0.0
-116.666229,33.946156,0.0
-116.657013,33.938034,0.0
-116.656845,33.937267,0.0
-116.656387,33.939495,0.0
-116.6567,33.936729,0.0
-116.65699,33.941093,0.0
-116.657135,33.938267,0.0
-116.657013,33.937759,0.0
-116.666496,33.946732,0.0
-116.665192,33.944996,0.0
-116.656288,33.938995,0.0
-116.656334,33.939217,0.0
-116.656532,33.936443,0.0
-118.25309,35.011696,0.0
-118.251488,35.001194,0.0
-118.248688,35.025295,0.0
-118.251587,35.015194,0.0
-118.25489,35.008293,0.0
-118.255486,35.007294,0.0
-118.248787,35.024197,0.0
-118.253685,35.010593,0.0
-118.258492,35.003895,0.0
-118.220688,35.036594,0.0
-118.242989,35.012695,0.0
-118.241386,35.018394,0.0
-118.241386,35.024296,0.0
-118.241386,35.019596,0.0
-118.24482,35.009449,0.0
-118.251091,35.016693,0.0
-118.252991,34.996994,0.0
-118.25209,35.013996,0.0
-118.241386,35.017197,0.0
-118.243591,35.011597,0.0
-118.247391,35.006294,0.0
-118.256187,35.006195,0.0
-118.252487,35.012894,0.0
-118.24839,35.005394,0.0
-118.249886,35.003296,0.0
-118.247986,35.027996,0.0
-118.24939,35.022797,0.0
-118.247391,35.029594,0.0
-118.249489,35.021397,0.0
-118.250587,35.017895,0.0
-118.246391,35.007294,0.0
-118.241287,35.021996,0.0
-118.241287,35.023193,0.0
-118.241486,35.015995,0.0
-118.254288,35.009495,0.0
-118.248489,35.026794,0.0
-118.244087,35.010395,0.0
-118.250191,35.018993,0.0
-118.259491,35.002995,0.0
-118.247086,35.030796,0.0
-118.263985,34.999393,0.0
-118.252388,35.000294,0.0
-118.249786,35.020195,0.0
-118.262985,35.000294,0.0
-118.253891,34.995895,0.0
-118.257385,35.004696,0.0
-118.24559,35.008293,0.0
-118.249084,35.004295,0.0
-118.26059,35.002193,0.0
-118.241287,35.020794,0.0
-118.250687,35.002193,0.0
-118.241989,35.014896,0.0
-118.241287,35.025494,0.0
-118.252289,34.998096,0.0
-118.261887,35.001194,0.0
-118.242386,35.013794,0.0
-118.306389,35.016895,0.0
-118.322487,35.016094,0.0
-118.299988,35.034294,0.0
-118.305389,35.027096,0.0
-118.326088,35.012295,0.0
-118.300591,35.021397,0.0
-118.312523,35.018604,0.0
-118.299484,35.022194,0.0
-118.31839,35.020695,0.0
-118.308388,35.035294,0.0
-118.301888,35.031696,0.0
-118.307289,35.037796,0.0
-118.302986,35.019295,0.0
-118.316589,35.014793,0.0
-118.289688,35.033794,0.0
-118.322189,35.017231,0.0
-118.324287,35.014194,0.0
-118.30619,35.025993,0.0
-118.298668,35.023251,0.0
-118.307785,35.036396,0.0
-118.303185,35.029396,0.0
-118.299187,35.035294,0.0
-118.28981,35.032524,0.0
-118.296829,35.026432,0.0
-118.32119,35.018093,0.0
-118.306404,35.024727,0.0
-118.317986,35.012695,0.0
-118.305489,35.017796,0.0
-118.302391,35.030396,0.0
-118.317291,35.013695,0.0
-118.319588,35.010593,0.0
-118.301689,35.020596,0.0
-118.307388,35.015896,0.0
-118.294289,35.029396,0.0
-118.304085,35.018494,0.0
-118.323387,35.015095,0.0
-118.288391,35.035896,0.0
-118.318886,35.019295,0.0
-118.325188,35.013195,0.0
-118.31369,35.017895,0.0
-118.29509,35.028397,0.0
-118.308586,35.015095,0.0
-118.29599,35.027393,0.0
-118.318787,35.011597,0.0
-118.32019,35.018894,0.0
-118.289085,35.034897,0.0
-118.243889,34.995995,0.0
-118.220291,35.027294,0.0
-118.238487,35.003197,0.0
-118.251289,34.989594,0.0
-118.237587,35.004093,0.0
-118.224991,34.988796,0.0
-118.232185,34.998997,0.0
-118.228188,34.981495,0.0
-118.243088,34.997093,0.0
-118.225388,34.987595,0.0
-118.24929,34.991394,0.0
-118.246185,34.994194,0.0
-118.241386,34.999096,0.0
-118.223389,35.023094,0.0
-118.233986,35.023396,0.0
-118.25029,34.990494,0.0
-118.218689,35.028397,0.0
-118.216087,35.032295,0.0
-118.224686,34.989994,0.0
-118.227585,35.003895,0.0
-118.226585,35.004894,0.0
-118.223885,34.996094,0.0
-118.21579,35.033497,0.0
-118.236885,35.005196,0.0
-118.240685,35.000095,0.0
-118.224388,34.991196,0.0
-118.229691,35.002094,0.0
